q,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
60 Avenue DE FONTAINEBLEAU 94270 LE KREMLIN BICETRE Val-de-Marne,48.812111,2.361379,60 Avenue de Fontainebleau 94270 Le Kremlin-Bicêtre,0.7846770851370851,,housenumber,94043_3550_00060,60,60 Avenue de Fontainebleau,Avenue de Fontainebleau,94270,Le Kremlin-Bicêtre,"94, Val-de-Marne, Île-de-France",94043,,,,ok
2 Rue ARMAND CARREL 93100 MONTREUIL Seine-Saint-Denis,48.854647,2.417499,2 Rue Armand Carrel 93100 Montreuil,0.6583937762237762,,housenumber,93048_0070_00002,2,2 Rue Armand Carrel,Rue Armand Carrel,93100,Montreuil,"93, Seine-Saint-Denis, Île-de-France",93048,,,,ok
23 AVENUE JEAN JACQUES ROUSSEAU 93190 LIVRY GARGAN Seine-Saint-Denis,48.927508,2.543501,23 Avenue Jean Jacques Rousseau 93190 Livry-Gargan,0.7271620759837177,,housenumber,93046_1330_00023,23,23 Avenue Jean Jacques Rousseau,Avenue Jean Jacques Rousseau,93190,Livry-Gargan,"93, Seine-Saint-Denis, Île-de-France",93046,,,,ok
10 RUE WILFRID LAURIER 75014 PARIS Paris,48.826566,2.306357,10 Rue Wilfrid Laurier 75014 Paris,0.8283644055944055,,housenumber,75114_9964_00010,10,10 Rue Wilfrid Laurier,Rue Wilfrid Laurier,75014,Paris,"75, Paris, Île-de-France",75114,,,Paris 14e Arrondissement,ok
1 RUE DES FERMES 91810 VERT LE GRAND Essonne,48.571829,2.358316,1 Rue des Fermes 91810 Vert-le-Grand,0.78207044397463,0.6459164031620553,housenumber,91648_0043_00001,1,1 Rue des Fermes,Rue des Fermes,91810,Vert-le-Grand,"91, Essonne, Île-de-France",91648,,,,ok
27 Boulevard MAXIME GORKI 93240 STAINS Seine-Saint-Denis,48.953945,2.384033,27 Boulevard Maxime Gorki 93240 Stains,0.6764502479338842,,housenumber,93072_6140_00027,27,27 Boulevard Maxime Gorki,Boulevard Maxime Gorki,93240,Stains,"93, Seine-Saint-Denis, Île-de-France",93072,,,,ok
17 RUE MADEMOISELLE 75015 PARIS Paris,48.84365,2.294878,17 Rue Mademoiselle 75015 Paris,0.8292430303030303,,housenumber,75115_5893_00017,17,17 Rue Mademoiselle,Rue Mademoiselle,75015,Paris,"75, Paris, Île-de-France",75115,,,Paris 15e Arrondissement,ok
7 RUE DES ECOLES 94380 BONNEUIL SUR MARNE Val-de-Marne,48.773356,2.484293,7 Rue des Ecoles 94380 Bonneuil-sur-Marne,0.7377518010291595,,housenumber,94011_0420_00007,7,7 Rue des Ecoles,Rue des Ecoles,94380,Bonneuil-sur-Marne,"94, Val-de-Marne, Île-de-France",94011,,,,ok
8 RUE DU CANGE 75014 PARIS Paris,48.83453,2.315103,8 Rue du Cange 75014 Paris,0.7946832844574779,,housenumber,75114_2950_00008,8,8 Rue du Cange,Rue du Cange,75014,Paris,"75, Paris, Île-de-France",75114,,,Paris 14e Arrondissement,ok
6 Rue DU CYGNE 93200 ST DENIS Seine-Saint-Denis,48.935441,2.357279,6 Rue du Cygne 93200 Saint-Denis,0.670533675889328,,housenumber,93066_1598_00006,6,6 Rue du Cygne,Rue du Cygne,93200,Saint-Denis,"93, Seine-Saint-Denis, Île-de-France",93066,,,,ok
10 Rue EUGENE MARIE LOUISE CORNET 93500 PANTIN Seine-Saint-Denis,48.892613,2.405705,10 Rue Eugène et Marie Louise Cornet 93500 Pantin,0.7037102797202798,,housenumber,93055_3180_00010,10,10 Rue Eugène et Marie Louise Cornet,Rue Eugène et Marie Louise Cornet,93500,Pantin,"93, Seine-Saint-Denis, Île-de-France",93055,,,,ok
1 COURS DE LA GONDOIRE 77600 JOSSIGNY Seine-et-Marne,48.850269,2.768891,1 Cours de la Gondoire 77600 Jossigny,0.6760966844919786,0.5124522943722943,housenumber,77237_0108_00001,1,1 Cours de la Gondoire,Cours de la Gondoire,77600,Jossigny,"77, Seine-et-Marne, Île-de-France",77237,,,,ok
